ROCE_Threshold,Holding_Period_Years,Initial_Capital,Final_Value,Total_Return_Pct,CAGR_Pct,Years_Elapsed,Num_Transactions,Num_Buys,Num_Sells
10,1,10000000,35084488.17885552,250.84488178855523,17.673643374458024,7.712525667351129,94,47,47
10,2,10000000,30061666.235412307,200.61666235412306,15.33969408026634,7.712525667351129,56,28,28
10,3,10000000,53047233.147557296,430.472331475573,24.15356636401098,7.712525667351129,48,24,24
10,4,10000000,48975889.55357022,389.75889553570215,22.874726883179907,7.712525667351129,44,22,22
10,5,10000000,56189528.37590938,461.8952837590938,25.08341411711981,7.712525667351129,38,19,19
15,1,10000000,33043076.272202685,230.43076272202688,16.76254838014204,7.712525667351129,40,20,20
15,2,10000000,32928998.426152043,229.28998426152046,16.71020266055523,7.712525667351129,24,12,12
15,3,10000000,72638786.2352595,626.387862352595,29.317839191272597,7.712525667351129,24,12,12
15,4,10000000,66546450.24072971,565.4645024072971,27.85735770529112,7.712525667351129,22,11,11
15,5,10000000,82998128.68815544,729.9812868815544,31.572665053271763,7.712525667351129,20,10,10
20,1,10000000,19602332.554564793,96.02332554564794,9.119003904282884,7.712525667351129,24,12,12
20,2,10000000,19492910.51435238,94.92910514352381,9.039834350846121,7.712525667351129,16,8,8
20,3,10000000,72490652.46819326,624.9065246819326,29.283615012154108,7.712525667351129,14,7,7
20,4,10000000,62321672.554918155,523.2167255491815,26.774608921486553,7.712525667351129,14,7,7
20,5,10000000,73340518.26306741,633.4051826306741,29.479143468546454,7.712525667351129,14,7,7
25,1,10000000,11597281.97461295,15.972819746129494,1.9399406338151293,7.712525667351129,8,4,4
25,2,10000000,12498430.251061518,24.984302510615176,2.933846961697073,7.712525667351129,6,3,3
25,3,10000000,50438329.194995284,404.3832919499528,23.344388852800524,7.712525667351129,6,3,3
25,4,10000000,48857500.072331384,388.57500072331385,22.8361742516481,7.712525667351129,6,3,3
25,5,10000000,67908948.73292278,579.0894873292277,28.19379374459714,7.712525667351129,6,3,3
30,1,10000000,12380882.108032744,23.808821080327444,2.80780760349697,7.712525667351129,8,4,4
30,2,10000000,13060268.620835822,30.60268620835822,3.522382666072943,7.712525667351129,6,3,3
30,3,10000000,52705669.019262336,427.05669019262336,24.049624097737077,7.712525667351129,6,3,3
30,4,10000000,51053777.335994564,410.5377733599457,23.53850372314774,7.712525667351129,6,3,3
30,5,10000000,68188757.5653005,581.887575653005,28.26215773027507,7.712525667351129,6,3,3
